person_age,person_income,person_emp_length,person_home_ownership,loan_grade,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,cb_person_default_on_file
22,59000,123,RENT,D,PERSONAL,35000,16.02,1,0.59,3,Y
21,9600,5,OWN,B,EDUCATION,1000,11.14,0,0.1,2,N
25,9600,1,MORTGAGE,C,MEDICAL,5500,12.87,1,0.57,3,N
23,65500,4,RENT,C,MEDICAL,35000,15.23,1,0.53,2,N
24,54400,8,RENT,C,MEDICAL,35000,14.27,1,0.55,4,Y
21,9900,2,OWN,A,VENTURE,2500,7.14,1,0.25,2,N
26,77100,8,RENT,B,EDUCATION,35000,12.42,1,0.45,3,N
24,78956,5,RENT,B,MEDICAL,35000,11.11,1,0.44,4,N
24,83000,8,RENT,A,PERSONAL,35000,8.9,1,0.42,2,N
21,10000,6,OWN,D,VENTURE,1600,14.74,1,0.16,3,N
22,85000,6,RENT,B,VENTURE,35000,10.37,1,0.41,4,N
21,10000,2,OWN,A,HOMEIMPROVEMENT,4500,8.63,1,0.45,2,N
23,95000,2,RENT,A,VENTURE,35000,7.9,1,0.37,2,N
26,108160,4,RENT,E,EDUCATION,35000,18.39,1,0.32,4,N
23,115000,2,RENT,A,EDUCATION,35000,7.9,0,0.3,4,N
23,500000,7,MORTGAGE,B,DEBTCONSOLIDATION,30000,10.65,0,0.06,3,N
23,120000,0,RENT,A,EDUCATION,35000,7.9,0,0.29,4,N
23,92111,7,RENT,F,MEDICAL,35000,20.25,1,0.32,4,N
23,113000,8,RENT,D,DEBTCONSOLIDATION,35000,18.25,1,0.31,4,N
24,10800,8,MORTGAGE,B,EDUCATION,1750,10.99,1,0.16,2,N
25,162500,2,RENT,A,VENTURE,35000,7.49,0,0.22,4,N
25,137000,9,RENT,E,PERSONAL,34800,16.77,0,0.25,2,Y
22,65000,4,RENT,D,EDUCATION,34000,17.58,1,0.52,4,N
24,10980,0,OWN,A,PERSONAL,1500,7.29,0,0.14,3,N
22,80000,3,RENT,D,PERSONAL,33950,14.54,1,0.42,4,Y
24,67746,8,RENT,C,HOMEIMPROVEMENT,33000,12.68,1,0.49,3,N
21,11000,3,MORTGAGE,E,VENTURE,4575,17.74,1,0.42,3,Y
23,11000,0,OWN,A,PERSONAL,1400,9.32,0,0.13,3,N
24,65000,6,RENT,B,HOMEIMPROVEMENT,32500,9.99,1,0.5,3,N
21,11389,5,OTHER,C,EDUCATION,4000,12.84,1,0.35,2,Y
21,11520,5,OWN,B,MEDICAL,2000,11.12,1,0.17,3,N
25,120000,2,RENT,A,VENTURE,32000,6.62,0,0.27,2,N
26,95000,7,RENT,C,HOMEIMPROVEMENT,31050,14.17,1,0.33,3,Y
25,306000,2,RENT,C,DEBTCONSOLIDATION,24250,13.85,0,0.08,3,N
26,300000,10,MORTGAGE,C,MEDICAL,7800,13.49,0,0.03,4,N
21,12000,5,OWN,A,EDUCATION,2500,7.51,1,0.21,4,N
22,48000,1,RENT,E,EDUCATION,30000,18.39,1,0.63,2,N
24,64000,8,RENT,D,DEBTCONSOLIDATION,30000,14.54,1,0.47,3,Y
25,75000,4,RENT,D,HOMEIMPROVEMENT,30000,16.89,1,0.4,4,Y
23,71500,3,RENT,D,DEBTCONSOLIDATION,30000,,1,0.42,4,N
26,62050,6,RENT,E,MEDICAL,30000,17.99,1,0.41,2,N
24,12000,4,OWN,B,VENTURE,2500,12.69,1,0.21,3,N
26,300000,10,MORTGAGE,A,VENTURE,20000,7.88,0,0.07,4,N
23,300000,1,OWN,F,EDUCATION,24250,19.41,0,0.08,2,Y
26,300000,9,OWN,B,HOMEIMPROVEMENT,10000,10.38,0,0.03,4,N
26,300000,0,MORTGAGE,D,EDUCATION,25000,15.33,0,0.08,3,N
25,300000,9,MORTGAGE,E,HOMEIMPROVEMENT,18000,16.45,0,0.06,3,N
26,80690,8,RENT,A,PERSONAL,30000,7.49,1,0.37,3,N
22,66300,4,RENT,B,MEDICAL,30000,12.69,1,0.38,3,N
26,89028,0,RENT,A,DEBTCONSOLIDATION,30000,6.62,1,0.34,3,N
24,78000,4,RENT,D,DEBTCONSOLIDATION,30000,,1,0.38,4,Y
23,78000,7,RENT,F,DEBTCONSOLIDATION,30000,18.62,1,0.38,3,Y
23,92004,6,RENT,C,PERSONAL,30000,15.23,1,0.33,3,Y
